collection,index,category,filename,commons_title,commons_page,source_url,author,license,license_url,description,original_width,original_height,saved_width,saved_height,sha256,phash,quality_score
luxury_motivation,1,fine-dining,visual-harvest-400/luxury_motivation/001_fine-dining_2022-maastricht-ch-teau-neercanne-03.jpg,"File:2022 Maastricht, Château Neercanne (03).jpg","https://commons.wikimedia.org/wiki/File:2022_Maastricht,_Ch%C3%A2teau_Neercanne_(03).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/2022_Maastricht%2C_Ch%C3%A2teau_Neercanne_%2803%29.jpg/1920px-2022_Maastricht%2C_Ch%C3%A2teau_Neercanne_%2803%29.jpg,Kleon3,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Trappenhuis van Château Neercanne, een gerenommeerd restaurant in het 17e-eeuwse terrassenkasteel Neercanne in Maastricht.",3024,4032,1050,1400,252da8334ad8b6832acc9c15d07db40ee30cc0945c2803eb5067b3dca22e9861,f2ca907f1e09d0f1,41.065
luxury_motivation,2,fine-dining,visual-harvest-400/luxury_motivation/002_fine-dining_le-p-rigord-4-135953761.jpg,File:Le Périgord 4 (135953761).jpeg,https://commons.wikimedia.org/wiki/File:Le_P%C3%A9rigord_4_(135953761).jpeg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Le_P%C3%A9rigord_4_%28135953761%29.jpeg/1920px-Le_P%C3%A9rigord_4_%28135953761%29.jpeg,Kevin Ooi,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,"500px provided description: Some commission work done for a fine dining restaurant here in Penang [#color ,#architecture ,#colour ,#colors ,#bar ,#food ,#interior ,#restaurant ,#indoor ,#chairs ,#colorful ,#colours ,#bricks ,#colourful ,#inside ,#tables ,#fine dining ,#southeastasia ,#Penang ,#Malaysia ,#Asia]",2048,1365,1400,933,3f72bcd71354b3e397f981d1d518457347e7ac80cb5c1e90fcd8955e56235175,95856e94a5cac43f,51.019
luxury_motivation,3,fine-dining,visual-harvest-400/luxury_motivation/003_fine-dining_farang-2013-30917281.jpg,File:Farang 2013 (30917281).jpeg,https://commons.wikimedia.org/wiki/File:Farang_2013_(30917281).jpeg,https://upload.wikimedia.org/wikipedia/commons/7/72/Farang_2013_%2830917281%29.jpeg,Sami Paju,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,"500px provided description: Part of a 9 course dinner in restaurant Farang in Helsinki, Finland. [#closeup ,#leaf ,#food ,#helsinki ,#finland ,#triptych ,#oyster ,#clam ,#fine dining ,#rib ,#farang]",1280,615,1280,615,a4b7fc71a50ebae8bd12d1472087357e1c8dc798e0b2a50c431c0cf2a57dcf52,a4f0f0abc89c9937,53.321
luxury_motivation,4,fine-dining,visual-harvest-400/luxury_motivation/004_fine-dining_la-boheme-french-brasserie-and-bar-von-stackelberg-hotel-tallinn.jpg,File:La Boheme French Brasserie and Bar - von Stackelberg Hotel Tallinn.jpg,https://commons.wikimedia.org/wiki/File:La_Boheme_French_Brasserie_and_Bar_-_von_Stackelberg_Hotel_Tallinn.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/La_Boheme_French_Brasserie_and_Bar_-_von_Stackelberg_Hotel_Tallinn.jpg/1920px-La_Boheme_French_Brasserie_and_Bar_-_von_Stackelberg_Hotel_Tallinn.jpg,Unique Hotels,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,"La Boheme brasserie & bar is a combination of an upscale life style brasserie and a fine dining restaurant in a friendly, cosy, casual, yet classy, tasteful and elegant environment.",4220,2216,1400,735,8ab3e9aa55bd9ab1b9cace03e9d3e485f764e0fa00c5c0580ab827a07039a4a3,d2f3afa46089d562,51.867
luxury_motivation,5,fine-dining,visual-harvest-400/luxury_motivation/005_fine-dining_dining-hall-8641037738.jpg,File:Dining Hall (8641037738).jpg,https://commons.wikimedia.org/wiki/File:Dining_Hall_(8641037738).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Dining_Hall_%288641037738%29.jpg/1920px-Dining_Hall_%288641037738%29.jpg,LassenNPS,Public domain,,"Overnight stays include meals or day visitors can reserve a space for breakfast, lunch, or dinner. Planning on hiking? Order a brown bag lunch to go!",3648,2736,1400,1050,206e6b1a735769674f78706e58709c106a5a0ae907d3edf4edec843443c46037,af5e0268fdab4454,40.643
luxury_motivation,6,fine-dining,visual-harvest-400/luxury_motivation/006_fine-dining_2022-maastricht-ch-teau-neercanne-05.jpg,"File:2022 Maastricht, Château Neercanne (05).jpg","https://commons.wikimedia.org/wiki/File:2022_Maastricht,_Ch%C3%A2teau_Neercanne_(05).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/2022_Maastricht%2C_Ch%C3%A2teau_Neercanne_%2805%29.jpg/1920px-2022_Maastricht%2C_Ch%C3%A2teau_Neercanne_%2805%29.jpg,Kleon3,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Interieur van Château Neercanne, een gerenommeerd restaurant in het 17e-eeuwse terrassenkasteel Neercanne in Maastricht.",2317,3061,1060,1400,903c0f55335b38808b58c8f4712035f6cb3c0570c84e5206f31179eee0d58dc8,eab2642fc7c098cd,36.075
luxury_motivation,7,fine-dining,visual-harvest-400/luxury_motivation/007_fine-dining_cosme-duck-carnitas.jpg,File:Cosme Duck Carnitas.jpg,https://commons.wikimedia.org/wiki/File:Cosme_Duck_Carnitas.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Cosme_Duck_Carnitas.jpg/1920px-Cosme_Duck_Carnitas.jpg,Gothelf95,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"The Duck Carnitas dish served at Cosme, a Mexican fine dining-establishment in New York City from chef Enrique Olvera.",3024,4032,1050,1400,526fb50766f477853fb8e8dc001e2e7dd1ea790786b6ddd51d09d0deb566c603,da10e538c03f5be3,41.519
luxury_motivation,8,fine-dining,visual-harvest-400/luxury_motivation/008_fine-dining_2022-maastricht-ch-teau-neercanne-08.jpg,"File:2022 Maastricht, Château Neercanne (08).jpg","https://commons.wikimedia.org/wiki/File:2022_Maastricht,_Ch%C3%A2teau_Neercanne_(08).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/2022_Maastricht%2C_Ch%C3%A2teau_Neercanne_%2808%29.jpg/1920px-2022_Maastricht%2C_Ch%C3%A2teau_Neercanne_%2808%29.jpg,Kleon3,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Interieur van Château Neercanne, een gerenommeerd restaurant in het 17e-eeuwse terrassenkasteel Neercanne in Maastricht.",3948,2960,1400,1050,a70fe0ccf661612892f856e67b286e1d541a2cfba55b06fc33af9e217317baa7,c1c4c2dff49b66c0,43.476
luxury_motivation,9,tailoring,visual-harvest-400/luxury_motivation/009_tailoring_stephen-williams.jpg,File:Stephen williams.jpg,https://commons.wikimedia.org/wiki/File:Stephen_williams.jpg,https://upload.wikimedia.org/wikipedia/commons/2/27/Stephen_williams.jpg,Jglondon,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"British Tailor Stephen Williams photographed at his London studio, May 2019.",1600,1066,1400,933,0464e9f5cb93f31279401aa130a0ba4e2c19908b0386ccab5371ff69e3bfd543,c4102f7b3b11cdec,43.782
luxury_motivation,10,tailoring,visual-harvest-400/luxury_motivation/010_tailoring_2020-fleche-wallonne-stephen-williams.jpg,File:2020 Fleche Wallonne Stephen Williams.jpg,https://commons.wikimedia.org/wiki/File:2020_Fleche_Wallonne_Stephen_Williams.jpg,https://upload.wikimedia.org/wikipedia/commons/9/96/2020_Fleche_Wallonne_Stephen_Williams.jpg,Hoebele,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Stephen Williams na de finish van de Waalse Pijl op de Muur van Hoei op woensdag 30 september 2020.,1066,1598,934,1400,e16a73e85972a20612e5641b1335cac32828d4d5872188030c426727705b7e67,ed9297edc888073c,41.851
